Name,ind1,inda,logp,lumo,status
d112, 1.0, 0.0, 3.81, -1.208, active
d20, 1.0, 0.0, 3.4, -1.764, active
d109, 1.0, 0.0, 6.07, -2.284, active
d25, 1.0, 0.0, 3.43, -1.398, active
d26, 0.0, 0.0, 2.17, -2.072, active
d1, 1.0, 0.0, 4.23, -1.246, active
d177, 1.0, 0.0, 2.29, -2.614, active
d91, 1.0, 0.0, 3.01, -2.032, active
d162, 0.0, 0.0, 3, -2.687, active
d18, 1.0, 0.0, 3.06, -1.861, active
d52, 1.0, 0.0, 6.01, -2.189, active
d57, 0.0, 0.0, 3.26, -2.242, active
d48, 1.0, 0.0, 4.23, -1.616, active
d183, 1.0, 0.0, 4.44, -2.294, active
d37, 0.0, 0.0, 4.18, -1.428, active
d24, 1.0, 0.0, 6.79, -1.728, active
d60, 0.0, 0.0, 2.3, -2.468, active
d33, 1.0, 0.0, 4.23, -1.591, active
d104, 1.0, 0.0, 6.26, -1.546, active
d64, 1.0, 0.0, 2.84, -2.338, active
d173, 0.0, 0.0, 3.26, -2.328, active
d56, 1.0, 0.0, 2.52, -2.234, active
d10, 1.0, 0.0, 4.62, -1.387, active
d29, 1.0, 0.0, 2.42, -2.837, active
d159, 1.0, 0.0, 4.19, -1.742, active
d153, 1.0, 0.0, 3.85, -1.151, active
d167, 1.0, 0.0, 4.44, -2.31, active
d172, 0.0, 0.0, 2.06, -1.487, active
d35, 1.0, 0.0, 3.06, -1.176, active
d105, 1.0, 0.0, 1.84, -1.749, active
d107, 1.0, 0.0, 4.18, -2.791, active
d180, 1.0, 0.0, 6.07, -2.182, active
d44, 1.0, 0.0, 4.53, -1.265, active
d86, 1.0, 1.0, 5.07, -1.918, active
d71, 1.0, 0.0, 6.01, -2.095, active
d31, 1.0, 0.0, 4.44, -2.055, active
d176, 0.0, 0.0, 2.74, -1.304, active
d79, 1.0, 0.0, 4.73, -1.26, active
d145, 0.0, 0.0, 2.68, -1.178, active
d68, 1.0, 0.0, 5.87, -1.766, active
d41, 1.0, 0.0, 4.83, -1.6, active
d174, 1.0, 0.0, 4.44, -2.209, active
d128, 1.0, 0.0, 3.36, -2.149, active
d90, 1.0, 0.0, 5.87, -1.62, active
d47, 1.0, 0.0, 5.02, -1.88, active
d54, 1.0, 0.0, 6.24, -1.464, active
d49, 1.0, 0.0, 2.29, -2.808, active
d161, 1.0, 0.0, 5.61, -2.221, active
d148, 1.0, 0.0, 3.36, -2.158, active
d21, 0.0, 0.0, 3.52, -1.665, active
d82, 1.0, 0.0, 4.18, -2.71, active
d137, 1.0, 0.0, 4.44, -2.263, active
d69, 1.0, 0.0, 3.71, -1.929, active
d53, 1.0, 0.0, 3.35, -2.155, active
d67, 1.0, 0.0, 4.66, -1.536, active
d121, 1.0, 0.0, 4.18, -2.68, active
d22, 1.0, 0.0, 5.09, -1.602, active
d16, 1.0, 0.0, 4.44, -2.172, active
d63, 0.0, 0.0, 2.79, -3.768, active
d12, 1.0, 0.0, 3.63, -1.627, active
d30, 1.0, 1.0, 5.07, -2.005, active
d127, 0.0, 0.0, 3.26, -2.196, active
d170, 1.0, 0.0, 2.52, -2.113, active
d83, 1.0, 0.0, 3.51, -1.145, active
d59, 1.0, 1.0, 5.07, -2.14, active
d61, 1.0, 0.0, 4.68, -1.556, active
d178, 0.0, 0.0, 1.77, -1.213, active
d106, 1.0, 0.0, 4.34, -1.607, active
d87, 1.0, 0.0, 3.83, -1.488, active
d96, 1.0, 0.0, 4.18, -2.871, active
d149, 1.0, 0.0, 2.29, -2.87, active
d166, 1.0, 0.0, 4.42, -1.709, active
d27, 1.0, 0.0, 5.87, -1.801, active
d108, 1.0, 0.0, 4.69, -1.676, active
d46, 1.0, 0.0, 6.57, -1.804, active
d187, 1.0, 0.0, 5.41, -1.276, active
d117, 0.0, 0.0, 3.26, -2.142, active
d163, 1.0, 0.0, 4.44, -1.974, active
d122, 1.0, 0.0, 5.41, -1.61, active
d146, 0.0, 0.0, 2.68, -1.102, active
d75, 0.0, 0.0, 3.52, -1.87, active
d95, 0.0, 0.0, 2.55, -2.434, active
d51, 1.0, 0.0, 6.01, -2.184, active
d97, 1.0, 0.0, 3.95, -1.361, active
d72, 1.0, 0.0, 3.37, -1.448, active
d85, 1.0, 1.0, 5.07, -2.113, active
d164, 1.0, 0.0, 4.44, -2.306, active
d158, 1.0, 0.0, 3.08, -1.34, active
d81, 0.0, 0.0, 1.49, -1.937, active
d11, 1.0, 0.0, 4.23, -1.254, active
d115, 0.0, 0.0, 2.74, -1.161, active
d152, 1.0, 0.0, 4.44, -2.191, active
d92, 1.0, 0.0, 5.28, -1.208, active
d136, 1.0, 0.0, 4.66, -1.685, active
d102, 1.0, 0.0, 2.4, -3.172, active
d6, 1.0, 0.0, 3.92, -3.406, active
d93, 1.0, 0.0, 5.87, -1.729, active
d126, 1.0, 0.0, 2.29, -2.718, active
d43, 1.0, 0.0, 4.69, -1.57, active
d28, 1.0, 0.0, 4.11, -1.558, active
d140, 0.0, 0.0, 2.52, -1.751, active
